Variable name,Unit,Description (EN),Description (FR),Size,Type,Default value,Minimum value,Maximum value,Observations,Level,,Package,Inherit,Methods,Constant Name,Constant Value,Class description,Daughter classes
W1,m,Pole top width,,0,float,2,00E-02,0,,,2,,Slot,SlotWind,_comp_point_coordinate,VERSION,1,,
W2,m,Pole bottom width,,0,float,3,00E-02,0,,,2,,,,build_geometry,IS_SYMMETRICAL,0,,
H1,m,Pole top height,,0,float,5,00E-02,0,,,,,,,build_geometry_wind,,,,
H2,m,Pole bottom height,,0,float,1,50E-01,0,,,,,,,check,,,,
R1,m,Pole top radius,,0,float,3,00E-02,0,,,,,,,comp_angle_opening,,,,
H3,m,Top Distance Ploe-coil ,,0,float,0,0,,,,,,,comp_height,,,,
H4,m,Bottom Distance Ploe-coil ,,0,float,0,0,,,,,,,comp_height_wind,,,,
W3,m,Edge Distance Ploe-coil ,,0,float,0,0,,,,,,,comp_surface,,,,
,,,,,,,,,,,,,,comp_surface_wind,,,,
