Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,as_dict Type
W0,m,Slot top width,0,float,1.30E-02,0,
H0,m,Slot height,0,float,2.00E-02,0,
W1,m,Slot bottom width.,0,float,1.00E-02,0,
Wx_is_rad,-,"Wx unit, 0 for m, 1 for rad",0,bool,0,,
,
Package,Inherit,Methods,Constant Name,Constant Value,Class description
Slot,Slot,_comp_point_coordinate,VERSION,1,trapezoidal slot with rounded bottom
,,build_geometry,IS_SYMMETRICAL,1,
,,check,,,
,,comp_angle_opening,,,
,,comp_angle_bottom,,,
,,comp_height,,,
,,comp_surface,,,
