Variable name,Unit,Description (EN),Description (FR),Size,Type,Default value,Minimum value,Maximum value,Observations,Level,,Package,Inherit,Methods,Constante Name,Constante Value,Description classe,Classe fille
name,,name of the design variable,,1,str,,,,,1,,Optimization,,,VERSION,1,Constraint of the optimization problem,
type_const,,"Type of comparison ( ""=="", ""<="", "">="", ""<"","">"")",,1,str,"""<=""",,,,1,,,,,,,,
value,,Value to compare,,2,float,0,,,,1,,,,,,,,
get_variable,,Function to get the variable to compare,,1,function,None,,,,,,,,,,,,
