Variable name,Unit,Description (EN),Description (FR),Size,Type,Default value,Minimum value,Maximum value,Observations,Level,,Package,Inherit,Methods,Constant Name,Constant Value,Class description,Daughter classes
connectivity,,"Dict containing tags and connectivity strored per element type in a ndarray: element = {""Triangle"": np.array([tag_elem, nd1, nd2, nd3 ]), ""Quadrangle"": np.array([tag_elem, nd1, nd2, nd3, nd4 ])}.",,,dict,None,,,,,,Mesh,Element,get_group,VERSION,1,"Define the connectivity with a dict, sorting element by types. ",
group,,"Attribute a group number (int) to each element: group = np.array([tag_elem, group]) . This group number should correspond to a subpart of the machine.",,,ndarray,None,,,,,,,,get_element,,,,
nb_elem,,"Number of elements per element type and total: nb_elem = {""Total"": nb_elem_total (int), ""Triangle"": nb_elem_triangle (int)  … }.",,,dict,None,,,,,,,,get_node2element,,,,
nb_node_per_element,,Define the number of node per element,,,dict,None,,,,,,,,add_element,,,,
,,,,,,,,,,,,,,convert_element,,,,
