Variable name,Unit,Description (EN),Description (FR),Size,Type,Default value,Minimum value,Maximum value,Observations,Level,,Package,Inherit,Methods,Constant Name,Constant Value,Class description,Daughter classes
coordinate,,Nodes coordinates,,,ndarray,None,,,,,,Mesh,Node,get_coord,VERSION,1,Class to define nodes coordinates and getter.,
nb_node,,Total number of nodes,,,int,0,,,,,,,,get_tag,,,,
tag,,Node tags,,,ndarray,None,,,,,,,,get_group,,,,
delta,,Sensibility for node searching,,,float,1.00E-10,,,,,,,,add_node,,,,
,,,,,,,,,,,,,,is_exist,,,,
